name	group
CF42	metabolism
CF10	metabolism
CF14	metabolism
CF29	metabolism
CF55	metabolism
CF33_53	metabolism
CF46	metabolism
CF22	metabolism
CF25	metabolism
CF44_51	metabolism
CF13	metabolism
CF7	metabolism
CF37	metabolism
CF4	metabolism
CF48_60	metabolism
CF48_61	metabolism
CF15	metabolism
CF50	metabolism
CF11	metabolism
CF31	metabolism
CF27	metabolism
CF60	metabolism
CF70	metabolism
CF53	metabolism
CF28_52	metabolism
CF49_65	metabolism
CF0_0	metabolism
CF0_6	metabolism
CF32_57	metabolism
CF17	metabolism
CF24_29	metabolism
CF9	metabolism
CF51	metabolism
CF19	resistance
CF23_58	resistance
CF66	resistance
CF43	resistance
CF2_7	resistance
CF38	resistance
CF32_36	resistance
CF67	communication
CF33_40	communication
CF20	communication
CF61	communication
CF69	communication
CF23_25	communication
CF23_64	communication
CF39	communication
CF44_49	communication
CF12	communication
CF45	communication
CF57	communication
CF26	communication
CF47	communication
CF16	communication
CF34	communication
CF36	communication
CF8	communication
CF6	communication
CF1	communication
CF3	communication
CF30	communication
CF2_4	communication
CF41	communication
CF63	communication
CF68	communication
CF28_31	communication
CF21	communication
CF24_46	communication
CF5	communication
CF35	communication
