rep000_seed0000	CFF000437	CFF000610	CFF000428	CFF001141	CFF003956	CFF001018	CFF000322	CFF000659	CFF000319	CFF000379	CFF001257	CFF002337	CFF000637	CFF006553	CFF000083	CFF000451	CFF000899	CFF001189	CFF001406	CFF000575	CFF000670	CFF002295	CFF000044	CFF000452	CFF000672	CFF001027	CFF000274	CFF001499	CFF000209	CFF001554	CFF000256	CFF000558	CFF009478	CFF002891	CFF000237	CFF000474	CFF000079	CFF000737	CFF000022	CFF000013	CFF001975	CFF000810	CFF000622	CFF000424	CFF000605	CFF057668	CFF006988	CFF000752	CFF001201	CFF003996	CFF000523	CFF000503	CFF000621	CFF001323	CFF000427	CFF000062	CFF029952	CFF001929	CFF010002	CFF000500	CFF000063	CFF000072	CFF001243	CFF016868	CFF000228	CFF005943	CFF000624	CFF000330	CFF001254	CFF000178	CFF000331	CFF035066	CFF115363
rep001_seed2026	FAM012011	FAM003894	FAM000844	FAM005917	FAM001465	FAM003184	FAM002500	FAM011159	FAM002541	FAM013236	FAM012726	FAM003933	FAM005947	FAM001491	FAM003402	FAM006261	FAM002714	FAM002032	FAM008864	FAM002186	FAM010720	FAM002978	FAM012143	FAM000145	FAM003310	FAM011374	FAM014104	FAM008291	FAM009876	FAM004435	FAM007671	FAM003687	FAM014364	FAM007910	FAM001913	FAM007517	FAM005922	FAM014064	FAM000527	FAM008879	FAM002242	FAM005766	FAM004162	FAM009665	FAM004044	FAM008155	FAM007894	FAM003367	FAM010792	FAM006415	FAM009302	FAM006993	FAM001009	FAM014527	FAM008829	FAM012687	FAM006833	FAM006157	FAM001444	FAM011230	FAM005084	FAM013850	FAM002612	FAM000856	FAM002249	FAM007280	FAM008490	FAM004767	FAM144585	FAM062557	FAM042058	FAM031891	FAM026024
rep002_seed2027	FAM005890	FAM005873	FAM003565	FAM003513	FAM013900	FAM006525	FAM004370	FAM004009	FAM001147	FAM005968	FAM004708	FAM004216	FAM006529	FAM006331	FAM007548	FAM005895	FAM007091	FAM013595	FAM012133	FAM001741	FAM006443	FAM009476	FAM007199	FAM000418	FAM006355	FAM007326	FAM005213	FAM002310	FAM009440	FAM000791	FAM008801	FAM013839	FAM005676	FAM010789	FAM002495	FAM002838	FAM005001	FAM007134	FAM006133	FAM008282	FAM003301	FAM001167	FAM008122	FAM013012	FAM005156	FAM000236	FAM008399	FAM002352	FAM000910	FAM002847	FAM014268	FAM003023	FAM003274	FAM000972	FAM006805	FAM005264	FAM004187	FAM014698	FAM004654	FAM002785	FAM014119	FAM005134	FAM008465	FAM011574	FAM001951	FAM011115	FAM007353	FAM009466	FAM140355	FAM063084	FAM040208	FAM034292	FAM015265
rep003_seed2028	FAM002830	FAM004862	FAM009401	FAM004913	FAM005936	FAM004219	FAM007294	FAM001443	FAM005961	FAM007073	FAM005968	FAM009353	FAM002770	FAM003221	FAM002611	FAM006433	FAM007451	FAM013781	FAM007393	FAM001749	FAM006025	FAM000454	FAM008707	FAM001227	FAM004705	FAM013663	FAM007851	FAM002900	FAM002916	FAM003497	FAM003906	FAM005198	FAM011288	FAM011489	FAM002385	FAM010551	FAM012116	FAM001179	FAM003207	FAM001423	FAM008943	FAM010646	FAM002660	FAM001823	FAM002162	FAM006583	FAM012479	FAM000535	FAM012913	FAM002986	FAM008060	FAM009168	FAM006056	FAM003965	FAM000754	FAM007309	FAM003662	FAM008017	FAM007674	FAM002422	FAM002472	FAM001347	FAM000092	FAM009455	FAM006006	FAM011641	FAM011778	FAM008048	FAM111468	FAM060496	FAM039614	FAM033343	FAM022367
rep004_seed2029	FAM009149	FAM000954	FAM002984	FAM002900	FAM008701	FAM005945	FAM009642	FAM000104	FAM002522	FAM004795	FAM003201	FAM013837	FAM003277	FAM008738	FAM002871	FAM002825	FAM000340	FAM005115	FAM010363	FAM009758	FAM000591	FAM003041	FAM002132	FAM008501	FAM005201	FAM012670	FAM008707	FAM006868	FAM004502	FAM003071	FAM013853	FAM001691	FAM002445	FAM008818	FAM001549	FAM005138	FAM003991	FAM008122	FAM005514	FAM010317	FAM004623	FAM010543	FAM006250	FAM010409	FAM006227	FAM009152	FAM008786	FAM003024	FAM002908	FAM012335	FAM003004	FAM000264	FAM006194	FAM002689	FAM008695	FAM004005	FAM002991	FAM003181	FAM009877	FAM010637	FAM003178	FAM009055	FAM011128	FAM009023	FAM010594	FAM011623	FAM012718	FAM008900	FAM137393	FAM060496	FAM033162	FAM035199	FAM016787
rep005_seed2030	FAM004764	FAM002919	FAM000380	FAM004866	FAM003620	FAM000112	FAM004955	FAM000872	FAM001494	FAM010160	FAM008184	FAM003005	FAM003389	FAM009596	FAM004558	FAM004118	FAM000320	FAM002443	FAM006283	FAM011438	FAM004260	FAM001591	FAM013630	FAM000999	FAM007556	FAM003462	FAM000335	FAM006459	FAM006108	FAM008336	FAM000192	FAM008250	FAM003876	FAM010121	FAM000826	FAM003230	FAM002163	FAM002031	FAM006878	FAM012856	FAM000479	FAM004233	FAM003648	FAM014498	FAM004381	FAM006627	FAM014449	FAM008953	FAM006291	FAM008027	FAM005798	FAM002410	FAM007260	FAM008020	FAM006894	FAM003982	FAM003048	FAM006604	FAM005159	FAM012123	FAM005254	FAM002988	FAM009765	FAM001422	FAM007186	FAM007414	FAM008622	FAM014430	FAM136588	FAM065227	FAM043364	FAM034135	FAM016365
rep006_seed2031	FAM000318	FAM000548	FAM002533	FAM004438	FAM005050	FAM002847	FAM006467	FAM006175	FAM003225	FAM002923	FAM005217	FAM003586	FAM006197	FAM005258	FAM009289	FAM001483	FAM007763	FAM010804	FAM009393	FAM007728	FAM014097	FAM003665	FAM002832	FAM000569	FAM005284	FAM002307	FAM008852	FAM000884	FAM008037	FAM007420	FAM007587	FAM000422	FAM010488	FAM007252	FAM006916	FAM005862	FAM003520	FAM006443	FAM003486	FAM009597	FAM010300	FAM006927	FAM009660	FAM003819	FAM005224	FAM003720	FAM011976	FAM010840	FAM011753	FAM007120	FAM003512	FAM000788	FAM005193	FAM009405	FAM000158	FAM001922	FAM004615	FAM001981	FAM005407	FAM010023	FAM001228	FAM000096	FAM003560	FAM003864	FAM004566	FAM008628	FAM011484	FAM007597	FAM129836	FAM062629	FAM036706	FAM032095	FAM018359
rep007_seed2032	FAM000494	FAM004879	FAM011285	FAM002282	FAM007473	FAM001194	FAM001050	FAM003382	FAM003506	FAM002085	FAM006953	FAM012588	FAM003743	FAM007696	FAM001496	FAM012761	FAM004809	FAM012271	FAM003710	FAM012851	FAM006966	FAM011689	FAM007774	FAM004491	FAM005889	FAM006423	FAM004088	FAM011524	FAM005189	FAM002070	FAM005534	FAM008658	FAM009533	FAM012135	FAM009522	FAM001760	FAM003708	FAM006214	FAM000745	FAM008157	FAM002570	FAM013023	FAM000747	FAM009229	FAM009943	FAM012007	FAM004470	FAM003992	FAM000920	FAM003288	FAM005492	FAM006453	FAM000678	FAM012612	FAM001190	FAM009980	FAM009400	FAM001160	FAM002353	FAM009663	FAM009776	FAM003861	FAM003704	FAM006218	FAM007277	FAM013108	FAM013561	FAM004905	FAM111843	FAM064902	FAM038359	FAM034264	FAM027791
rep008_seed2033	FAM003644	FAM004215	FAM002091	FAM000232	FAM001526	FAM007286	FAM005277	FAM002354	FAM002562	FAM001205	FAM009427	FAM009428	FAM002385	FAM003953	FAM005367	FAM001800	FAM001531	FAM001548	FAM010788	FAM006869	FAM005714	FAM001855	FAM012173	FAM005904	FAM001974	FAM013538	FAM005396	FAM001500	FAM005144	FAM002215	FAM002408	FAM007537	FAM009634	FAM007991	FAM002024	FAM000244	FAM004698	FAM000931	FAM005778	FAM009707	FAM009513	FAM005468	FAM001615	FAM009323	FAM002282	FAM003406	FAM012707	FAM006661	FAM013751	FAM003341	FAM004562	FAM006298	FAM007874	FAM010292	FAM005868	FAM005891	FAM000964	FAM010113	FAM012250	FAM000272	FAM007146	FAM004323	FAM005501	FAM005853	FAM002834	FAM007114	FAM012957	FAM010270	FAM132933	FAM065958	FAM029727	FAM042946	FAM018729
rep009_seed2034	FAM010164	FAM000625	FAM001316	FAM006132	FAM005551	FAM003620	FAM009289	FAM003450	FAM001014	FAM000400	FAM004810	FAM011799	FAM005759	FAM003903	FAM004465	FAM004881	FAM004999	FAM011339	FAM004542	FAM001546	FAM014601	FAM008695	FAM009276	FAM001841	FAM006182	FAM001945	FAM005044	FAM000250	FAM013391	FAM005732	FAM007805	FAM013082	FAM008361	FAM006555	FAM002776	FAM013921	FAM011427	FAM002438	FAM012489	FAM002207	FAM003282	FAM001645	FAM012992	FAM002402	FAM001908	FAM011885	FAM006073	FAM005730	FAM002241	FAM002199	FAM010447	FAM002471	FAM007133	FAM003839	FAM013054	FAM001047	FAM007642	FAM005826	FAM008570	FAM011002	FAM005436	FAM009551	FAM007417	FAM001079	FAM008138	FAM008902	FAM006271	FAM012511	FAM143494	FAM063111	FAM039725	FAM036417	FAM016475
rep010_seed2035	FAM002268	FAM000270	FAM007737	FAM000602	FAM012222	FAM005920	FAM007375	FAM010815	FAM007259	FAM000081	FAM005147	FAM001332	FAM001370	FAM012012	FAM006327	FAM013722	FAM001327	FAM000809	FAM000848	FAM001375	FAM001217	FAM003765	FAM005041	FAM002362	FAM003670	FAM004652	FAM009852	FAM010012	FAM009308	FAM013671	FAM009167	FAM001313	FAM009473	FAM011784	FAM014239	FAM008810	FAM007766	FAM002851	FAM006600	FAM003658	FAM002876	FAM006464	FAM005206	FAM005759	FAM001075	FAM002896	FAM001591	FAM002064	FAM001320	FAM003410	FAM003096	FAM004644	FAM007295	FAM009336	FAM004740	FAM003300	FAM001556	FAM009113	FAM001155	FAM003920	FAM004487	FAM002351	FAM001085	FAM012600	FAM008325	FAM010673	FAM011552	FAM013340	FAM146234	FAM061177	FAM032648	FAM043477	FAM024930
