rep000_seed0000	CFF000437	CFF000083	CFF000899	CFF000672	CFF000209	CFF001554	CFF000558	CFF000013	CFF000810	CFF000063	CFF000072	CFF001243	CFF016868	CFF000228	CFF000331
rep001_seed2026	FAM003300	FAM006549	FAM000265	FAM000471	FAM009166	FAM005229	FAM002500	FAM006252	FAM002541	FAM007729	FAM006214	FAM001303	FAM005947	FAM008302	FAM020056
rep002_seed2027	FAM006985	FAM008957	FAM004514	FAM001502	FAM010292	FAM002040	FAM000065	FAM005022	FAM008379	FAM003188	FAM007869	FAM011029	FAM002625	FAM005710	FAM018142
rep003_seed2028	FAM003271	FAM006668	FAM005765	FAM011789	FAM005936	FAM007966	FAM007294	FAM006866	FAM007577	FAM003497	FAM003188	FAM005093	FAM001614	FAM002181	FAM016365
rep004_seed2029	FAM000891	FAM008364	FAM008292	FAM010608	FAM007214	FAM000285	FAM007394	FAM001417	FAM006089	FAM005562	FAM008866	FAM013216	FAM003069	FAM008107	FAM024655
rep005_seed2030	FAM010445	FAM010289	FAM005051	FAM005674	FAM005387	FAM004533	FAM002156	FAM007837	FAM002219	FAM010048	FAM007482	FAM003082	FAM008383	FAM013858	FAM016003
rep006_seed2031	FAM013241	FAM007316	FAM000053	FAM003593	FAM001632	FAM002847	FAM004023	FAM007919	FAM005449	FAM004009	FAM001987	FAM001826	FAM008733	FAM002581	FAM026150
rep007_seed2032	FAM002425	FAM001128	FAM002455	FAM009308	FAM013694	FAM003711	FAM008282	FAM011653	FAM002899	FAM001627	FAM007763	FAM001999	FAM007192	FAM004137	FAM027921
rep008_seed2033	FAM013518	FAM007446	FAM006071	FAM006828	FAM004571	FAM007286	FAM002362	FAM007229	FAM007583	FAM003133	FAM002892	FAM007863	FAM004527	FAM011672	FAM016682
rep009_seed2034	FAM003874	FAM001414	FAM003520	FAM006132	FAM006691	FAM005387	FAM004216	FAM014421	FAM000067	FAM003741	FAM000225	FAM005904	FAM001550	FAM011842	FAM016787
rep010_seed2035	FAM003503	FAM009984	FAM006869	FAM003317	FAM000352	FAM000735	FAM003635	FAM001755	FAM007259	FAM001584	FAM009424	FAM008771	FAM004050	FAM005737	FAM018607
rep011_seed2036	FAM006205	FAM005165	FAM004681	FAM014317	FAM007223	FAM005083	FAM009207	FAM003433	FAM007309	FAM002990	FAM011107	FAM010716	FAM002424	FAM002429	FAM018286
rep012_seed2037	FAM003802	FAM004734	FAM008966	FAM003276	FAM000837	FAM003095	FAM002796	FAM002972	FAM003655	FAM002035	FAM001785	FAM005997	FAM012225	FAM007375	FAM014860
rep013_seed2038	FAM007356	FAM004737	FAM002538	FAM004657	FAM013621	FAM005094	FAM002972	FAM004200	FAM011390	FAM001040	FAM001473	FAM003531	FAM002057	FAM007889	FAM015888
rep014_seed2039	FAM013554	FAM006658	FAM010434	FAM000717	FAM003090	FAM001132	FAM006026	FAM014175	FAM004278	FAM009038	FAM000440	FAM006629	FAM004563	FAM000880	FAM023255
rep015_seed2040	FAM010504	FAM007577	FAM006321	FAM005912	FAM003641	FAM007506	FAM003453	FAM010189	FAM003002	FAM003562	FAM001753	FAM007134	FAM006353	FAM009597	FAM023358
rep016_seed2041	FAM002156	FAM013391	FAM011514	FAM002822	FAM004837	FAM002576	FAM004344	FAM003386	FAM005904	FAM003404	FAM000128	FAM004995	FAM003912	FAM003971	FAM021844
rep017_seed2042	FAM004209	FAM013024	FAM005386	FAM008638	FAM005231	FAM001934	FAM002157	FAM005288	FAM010542	FAM002274	FAM005035	FAM000842	FAM001011	FAM004080	FAM024099
rep018_seed2043	FAM001439	FAM013073	FAM006930	FAM011840	FAM007663	FAM002992	FAM007951	FAM002716	FAM000384	FAM002626	FAM013946	FAM005873	FAM005622	FAM001826	FAM018712
rep019_seed2044	FAM007883	FAM001081	FAM004335	FAM003935	FAM006912	FAM003803	FAM008615	FAM008661	FAM001888	FAM013464	FAM002433	FAM002646	FAM002309	FAM001632	FAM016778
rep020_seed2045	FAM000760	FAM008771	FAM000397	FAM001629	FAM001828	FAM000109	FAM010796	FAM004631	FAM013039	FAM009172	FAM002541	FAM006912	FAM005477	FAM008460	FAM026041
rep021_seed2046	FAM000664	FAM008293	FAM002566	FAM001495	FAM013074	FAM013888	FAM010362	FAM008790	FAM004487	FAM007951	FAM001842	FAM005973	FAM000682	FAM001429	FAM018823
rep022_seed2047	FAM012012	FAM005435	FAM008917	FAM013518	FAM007566	FAM003323	FAM003653	FAM003670	FAM001599	FAM000601	FAM011146	FAM011895	FAM002933	FAM004218	FAM022085
rep023_seed2048	FAM008080	FAM011107	FAM004261	FAM000333	FAM007061	FAM013751	FAM005429	FAM001099	FAM007025	FAM003360	FAM002294	FAM007934	FAM011485	FAM000508	FAM015140
rep024_seed2049	FAM005926	FAM006458	FAM000266	FAM004598	FAM000922	FAM000194	FAM009956	FAM005043	FAM003648	FAM010360	FAM003037	FAM004313	FAM000016	FAM013317	FAM016542
rep025_seed2050	FAM003128	FAM002236	FAM004756	FAM007993	FAM000612	FAM005140	FAM006956	FAM001815	FAM005010	FAM000661	FAM007288	FAM007820	FAM003653	FAM000641	FAM020270
rep026_seed2051	FAM000502	FAM004396	FAM003942	FAM003584	FAM010494	FAM007235	FAM001580	FAM011500	FAM000997	FAM003351	FAM000484	FAM007946	FAM003286	FAM000693	FAM020539
rep027_seed2052	FAM005748	FAM001916	FAM004298	FAM011506	FAM002665	FAM004420	FAM005296	FAM009315	FAM002933	FAM002058	FAM000586	FAM010113	FAM000457	FAM003101	FAM027522
rep028_seed2053	FAM001008	FAM000959	FAM012027	FAM007657	FAM006690	FAM005640	FAM004902	FAM013847	FAM002451	FAM003557	FAM000887	FAM000283	FAM001134	FAM012667	FAM026177
rep029_seed2054	FAM010232	FAM009963	FAM006668	FAM005637	FAM009632	FAM007681	FAM008106	FAM001161	FAM005557	FAM002001	FAM007034	FAM005051	FAM011063	FAM005799	FAM024125
rep030_seed2055	FAM005059	FAM004531	FAM005140	FAM003913	FAM003943	FAM005747	FAM000759	FAM006428	FAM006487	FAM005116	FAM006605	FAM004477	FAM006829	FAM012740	FAM021142
rep031_seed2056	FAM000539	FAM006324	FAM000889	FAM001994	FAM003781	FAM000527	FAM004458	FAM005029	FAM006042	FAM001588	FAM011745	FAM003572	FAM010461	FAM005385	FAM017838
rep032_seed2057	FAM000643	FAM004794	FAM003524	FAM002316	FAM010597	FAM009809	FAM002074	FAM008830	FAM007415	FAM003247	FAM005627	FAM008423	FAM009018	FAM010608	FAM028062
rep033_seed2058	FAM005452	FAM011519	FAM001868	FAM008554	FAM004022	FAM001624	FAM011294	FAM007428	FAM005038	FAM003549	FAM008460	FAM005568	FAM000102	FAM007063	FAM015138
rep034_seed2059	FAM001821	FAM008502	FAM002086	FAM009155	FAM003592	FAM007301	FAM006464	FAM008435	FAM010788	FAM012800	FAM001400	FAM003261	FAM004008	FAM002076	FAM016391
rep035_seed2060	FAM010927	FAM000544	FAM008092	FAM004391	FAM002673	FAM003406	FAM006538	FAM005224	FAM004445	FAM010502	FAM001154	FAM004344	FAM010961	FAM005227	FAM018607
