rep000_seed0000	CFF000428	CFF003956	CFF001018	CFF000659	CFF000637	CFF006553	CFF000083	CFF035066	CFF001189	CFF001406	CFF000670	CFF000672	CFF001027	CFF001499	CFF000209	CFF001554	CFF000256	CFF000558	CFF009478	CFF000237	CFF000474	CFF000079	CFF000737	CFF115363	CFF000022	CFF001975	CFF000810	CFF000424	CFF000605	CFF057668	CFF006988	CFF001201	CFF000503	CFF001323	CFF000427	CFF000062	CFF001929	CFF010002	CFF000500	CFF000063	CFF000072	CFF001243	CFF000228	CFF000330	CFF001254	CFF000331	CFF000437	CFF000610	CFF001141	CFF000322	CFF000319	CFF000379	CFF001257	CFF002337	CFF000451	CFF000899	CFF000575	CFF002295	CFF000044	CFF000452	CFF000274	CFF002891	CFF000013	CFF000622	CFF000752	CFF003996	CFF000523	CFF000621	CFF029952	CFF016868	CFF005943	CFF000624	CFF000178
rep001_seed2026	FAM012972	FAM000145	FAM002510	FAM008448	FAM001668	FAM004218	FAM009565	FAM010371	FAM003346	FAM001329	FAM001551	FAM000442	FAM001632	FAM003155	FAM001017	FAM006930	FAM003904	FAM010531	FAM010735	FAM004995	FAM002637	FAM004657	FAM002671	FAM010285	FAM003693	FAM001179	FAM004522	FAM006279	FAM011435	FAM007092	FAM000077	FAM004047	FAM000739	FAM006433	FAM000671	FAM004060	FAM004107	FAM005423	FAM000949	FAM006638	FAM004934	FAM003609	FAM003085	FAM001828	FAM003794	FAM005733	FAM005507	FAM003823	FAM005949	FAM006643	FAM001994	FAM005768	FAM005464	FAM002970	FAM005386	FAM005052	FAM002827	FAM005877	FAM003536	FAM000386	FAM002724	FAM005266	FAM000482	FAM008534	FAM008699	FAM009222	FAM008341	FAM010498	FAM131718	FAM079222	FAM037841	FAM040310	FAM023564
rep002_seed2027	FAM008740	FAM008947	FAM002289	FAM005097	FAM003987	FAM007779	FAM000907	FAM001068	FAM003315	FAM000048	FAM013692	FAM003490	FAM006033	FAM009362	FAM011117	FAM011524	FAM008005	FAM008642	FAM005832	FAM013921	FAM010910	FAM001733	FAM001123	FAM011614	FAM001520	FAM007857	FAM000390	FAM004133	FAM006977	FAM006246	FAM000157	FAM001527	FAM005621	FAM009959	FAM001431	FAM001037	FAM012939	FAM001544	FAM001959	FAM011738	FAM013743	FAM010564	FAM002345	FAM001788	FAM003074	FAM004311	FAM006391	FAM001699	FAM006984	FAM003541	FAM000250	FAM008439	FAM009564	FAM000355	FAM001536	FAM002851	FAM001432	FAM000625	FAM010093	FAM004510	FAM004595	FAM006472	FAM013770	FAM012762	FAM011880	FAM009341	FAM005495	FAM012877	FAM124358	FAM061978	FAM031778	FAM040504	FAM022416
rep003_seed2028	FAM000038	FAM006756	FAM002323	FAM007883	FAM008644	FAM000417	FAM004552	FAM001218	FAM002142	FAM006033	FAM009059	FAM002201	FAM008005	FAM001765	FAM003808	FAM004285	FAM001281	FAM002239	FAM000258	FAM005549	FAM005382	FAM001208	FAM009426	FAM013699	FAM014695	FAM004570	FAM011967	FAM001726	FAM005740	FAM003172	FAM003491	FAM002413	FAM003156	FAM007536	FAM007535	FAM004140	FAM004456	FAM013241	FAM007087	FAM002251	FAM003040	FAM011019	FAM002963	FAM009955	FAM002115	FAM005664	FAM013256	FAM005153	FAM003231	FAM002097	FAM010762	FAM004446	FAM003864	FAM008243	FAM003039	FAM005607	FAM001495	FAM005912	FAM001604	FAM007406	FAM002908	FAM001121	FAM010397	FAM008220	FAM013421	FAM011819	FAM013064	FAM013275	FAM145598	FAM058220	FAM033443	FAM036157	FAM018165
rep004_seed2029	FAM005216	FAM000602	FAM007090	FAM011019	FAM012798	FAM013316	FAM013065	FAM002510	FAM006769	FAM008586	FAM006592	FAM006757	FAM001849	FAM002014	FAM012687	FAM004391	FAM003893	FAM002819	FAM000476	FAM000894	FAM001098	FAM004767	FAM003036	FAM012730	FAM001872	FAM012989	FAM007843	FAM002704	FAM004513	FAM001592	FAM014244	FAM009001	FAM000780	FAM006800	FAM000755	FAM004471	FAM009922	FAM012456	FAM008548	FAM003491	FAM003946	FAM009908	FAM007677	FAM000987	FAM002645	FAM002629	FAM006549	FAM003591	FAM013634	FAM001459	FAM001561	FAM011301	FAM002788	FAM002873	FAM006848	FAM001438	FAM000723	FAM009724	FAM010871	FAM005163	FAM011868	FAM007190	FAM003511	FAM011681	FAM013672	FAM010583	FAM011470	FAM008284	FAM110322	FAM069536	FAM040909	FAM038567	FAM025995
rep005_seed2030	FAM002830	FAM007343	FAM005157	FAM010201	FAM004651	FAM001191	FAM008545	FAM008147	FAM000565	FAM000410	FAM001755	FAM012126	FAM014135	FAM003611	FAM001170	FAM005974	FAM000499	FAM004924	FAM005014	FAM003017	FAM004472	FAM000199	FAM004222	FAM008160	FAM008215	FAM003016	FAM005721	FAM002837	FAM006725	FAM001356	FAM004502	FAM001366	FAM004106	FAM004623	FAM001839	FAM000125	FAM011558	FAM007360	FAM001541	FAM013984	FAM011306	FAM007781	FAM010950	FAM010106	FAM001894	FAM013872	FAM005181	FAM007962	FAM007877	FAM002453	FAM000159	FAM002888	FAM007164	FAM003084	FAM000600	FAM002679	FAM009702	FAM004122	FAM002816	FAM007883	FAM007108	FAM013787	FAM006275	FAM013001	FAM010489	FAM007787	FAM007582	FAM007147	FAM110612	FAM062641	FAM033353	FAM036610	FAM027586
rep006_seed2031	FAM000328	FAM001688	FAM000511	FAM002360	FAM000614	FAM005133	FAM002950	FAM003542	FAM005853	FAM006929	FAM005038	FAM002610	FAM004677	FAM000902	FAM010552	FAM005340	FAM001387	FAM001902	FAM010978	FAM006615	FAM003018	FAM013054	FAM006028	FAM009491	FAM002599	FAM008933	FAM002397	FAM010571	FAM002900	FAM013208	FAM001507	FAM001338	FAM012220	FAM005526	FAM007783	FAM008498	FAM001965	FAM001649	FAM006952	FAM001897	FAM002784	FAM004259	FAM010033	FAM005686	FAM001683	FAM004571	FAM006126	FAM001355	FAM002818	FAM003881	FAM004669	FAM014494	FAM004712	FAM003665	FAM001037	FAM009105	FAM007684	FAM004836	FAM002136	FAM000192	FAM001767	FAM005104	FAM011095	FAM008534	FAM012443	FAM011757	FAM002985	FAM006048	FAM133702	FAM060956	FAM039276	FAM042512	FAM021546
rep007_seed2032	FAM001225	FAM004988	FAM004240	FAM000045	FAM011494	FAM003416	FAM005285	FAM008518	FAM002771	FAM012472	FAM003038	FAM014575	FAM000548	FAM003085	FAM003722	FAM007482	FAM002122	FAM009376	FAM008529	FAM010052	FAM008075	FAM005876	FAM005660	FAM000202	FAM003723	FAM012962	FAM005652	FAM002905	FAM006267	FAM002008	FAM000142	FAM010408	FAM001170	FAM004480	FAM000127	FAM005217	FAM003923	FAM005249	FAM006513	FAM004338	FAM002942	FAM004375	FAM001082	FAM007464	FAM001863	FAM008526	FAM009203	FAM009047	FAM009112	FAM003563	FAM013294	FAM000281	FAM014136	FAM004193	FAM005846	FAM002666	FAM010285	FAM005945	FAM001235	FAM005938	FAM004007	FAM002048	FAM001778	FAM013512	FAM012837	FAM011770	FAM014305	FAM003738	FAM113046	FAM060426	FAM030299	FAM031037	FAM026346
rep008_seed2033	FAM001136	FAM010459	FAM008458	FAM008222	FAM002809	FAM000880	FAM003872	FAM007794	FAM002306	FAM000671	FAM000346	FAM002403	FAM013799	FAM004066	FAM000543	FAM004919	FAM002561	FAM004446	FAM002080	FAM004558	FAM012789	FAM005006	FAM012161	FAM002404	FAM000201	FAM013837	FAM002849	FAM005913	FAM002507	FAM006694	FAM012276	FAM003512	FAM008240	FAM000845	FAM000191	FAM013890	FAM001932	FAM008973	FAM003158	FAM006318	FAM000636	FAM008395	FAM011066	FAM003668	FAM009550	FAM005609	FAM000852	FAM005987	FAM001935	FAM004014	FAM004083	FAM004549	FAM011089	FAM009712	FAM002829	FAM004193	FAM005382	FAM003289	FAM002190	FAM000603	FAM011888	FAM002705	FAM011964	FAM010657	FAM013817	FAM009772	FAM011005	FAM010370	FAM137401	FAM069019	FAM040806	FAM032293	FAM022334
rep009_seed2034	FAM003795	FAM011528	FAM007173	FAM009512	FAM009747	FAM002117	FAM004814	FAM011724	FAM008147	FAM008933	FAM011450	FAM000459	FAM001560	FAM012102	FAM008252	FAM006804	FAM000749	FAM001941	FAM010654	FAM000078	FAM011738	FAM003880	FAM000898	FAM001476	FAM000865	FAM013356	FAM000195	FAM003241	FAM004294	FAM000489	FAM000895	FAM003877	FAM000415	FAM007948	FAM000785	FAM002393	FAM010552	FAM004297	FAM008087	FAM000233	FAM001834	FAM002360	FAM005759	FAM001727	FAM002423	FAM001334	FAM001093	FAM004801	FAM003885	FAM005178	FAM010554	FAM000701	FAM008475	FAM012375	FAM011596	FAM005859	FAM004276	FAM003499	FAM004410	FAM007832	FAM007947	FAM006128	FAM000834	FAM007219	FAM005881	FAM004032	FAM009285	FAM008341	FAM116366	FAM064695	FAM037280	FAM029930	FAM017609
rep010_seed2035	FAM004285	FAM002624	FAM006383	FAM008947	FAM007660	FAM001756	FAM005470	FAM010573	FAM000179	FAM005320	FAM002839	FAM011944	FAM006939	FAM000887	FAM011412	FAM013223	FAM007133	FAM000543	FAM005068	FAM008747	FAM001370	FAM007420	FAM004741	FAM006545	FAM000362	FAM005767	FAM002341	FAM002419	FAM011615	FAM005156	FAM000273	FAM008626	FAM001340	FAM002363	FAM001262	FAM002521	FAM003968	FAM003210	FAM000526	FAM000818	FAM008714	FAM001372	FAM000259	FAM007043	FAM000625	FAM011780	FAM012605	FAM009210	FAM012957	FAM001583	FAM002433	FAM010612	FAM004208	FAM007265	FAM001477	FAM012624	FAM002647	FAM012493	FAM001913	FAM011977	FAM003981	FAM004178	FAM000979	FAM010858	FAM006566	FAM014053	FAM010282	FAM007758	FAM140780	FAM065062	FAM033001	FAM036734	FAM016981
rep011_seed2036	FAM001680	FAM006621	FAM009889	FAM008473	FAM011468	FAM006138	FAM003590	FAM009770	FAM004297	FAM013741	FAM004499	FAM001481	FAM004136	FAM004092	FAM003920	FAM009569	FAM003614	FAM001067	FAM001335	FAM012720	FAM007118	FAM011038	FAM007364	FAM000717	FAM009624	FAM009855	FAM005433	FAM013425	FAM006852	FAM000958	FAM001200	FAM006670	FAM007593	FAM003932	FAM007541	FAM001786	FAM005564	FAM003849	FAM004307	FAM003865	FAM000267	FAM001588	FAM000721	FAM000783	FAM000329	FAM001556	FAM004468	FAM003960	FAM006948	FAM006105	FAM003244	FAM008102	FAM008444	FAM001207	FAM006111	FAM006593	FAM010727	FAM004341	FAM009603	FAM008070	FAM001985	FAM001905	FAM007025	FAM013249	FAM009602	FAM013372	FAM006900	FAM013270	FAM122198	FAM057729	FAM033001	FAM032724	FAM017592
rep012_seed2037	FAM006197	FAM011953	FAM003395	FAM000644	FAM001595	FAM002077	FAM004876	FAM001521	FAM006980	FAM008244	FAM002306	FAM002995	FAM002011	FAM005627	FAM000517	FAM003810	FAM000812	FAM000247	FAM003153	FAM002223	FAM000838	FAM002898	FAM004389	FAM005916	FAM012992	FAM001930	FAM005287	FAM000438	FAM013168	FAM004114	FAM008326	FAM002752	FAM002167	FAM005020	FAM010571	FAM000870	FAM007520	FAM001164	FAM009948	FAM007401	FAM004579	FAM000739	FAM002855	FAM000852	FAM001526	FAM002204	FAM007546	FAM008779	FAM006851	FAM005518	FAM002462	FAM008316	FAM011238	FAM002714	FAM001939	FAM000309	FAM012149	FAM008312	FAM000391	FAM007716	FAM004855	FAM005978	FAM007416	FAM005197	FAM006971	FAM009291	FAM013550	FAM012675	FAM113610	FAM065192	FAM042739	FAM036076	FAM027051
rep013_seed2038	FAM010796	FAM003846	FAM000440	FAM012281	FAM000691	FAM007151	FAM011034	FAM002011	FAM002375	FAM001347	FAM002555	FAM003310	FAM001109	FAM002828	FAM001799	FAM000792	FAM004335	FAM006024	FAM007685	FAM005307	FAM000122	FAM005669	FAM002321	FAM005521	FAM006758	FAM001727	FAM007926	FAM008718	FAM001039	FAM003513	FAM004617	FAM002285	FAM008810	FAM003453	FAM000325	FAM001904	FAM006598	FAM007144	FAM003233	FAM001386	FAM006759	FAM003810	FAM001229	FAM003951	FAM002859	FAM007591	FAM013016	FAM007461	FAM002020	FAM010089	FAM004269	FAM012730	FAM004929	FAM004385	FAM000477	FAM014503	FAM008285	FAM002417	FAM007555	FAM006488	FAM002064	FAM010027	FAM002433	FAM009305	FAM010470	FAM013938	FAM004759	FAM003850	FAM133702	FAM069543	FAM040458	FAM036145	FAM022163
rep014_seed2039	FAM009515	FAM006108	FAM006427	FAM006417	FAM008746	FAM001505	FAM002643	FAM004117	FAM004520	FAM002954	FAM007640	FAM013533	FAM009293	FAM001241	FAM014426	FAM004927	FAM002372	FAM012524	FAM003855	FAM005751	FAM007935	FAM004201	FAM002558	FAM000619	FAM001146	FAM006555	FAM000633	FAM000399	FAM001694	FAM009961	FAM002426	FAM010782	FAM002669	FAM005636	FAM006304	FAM013845	FAM002057	FAM000162	FAM002800	FAM002679	FAM000839	FAM002122	FAM002033	FAM006046	FAM001900	FAM002755	FAM005846	FAM002927	FAM001810	FAM011242	FAM001418	FAM003002	FAM001978	FAM001993	FAM007355	FAM002909	FAM011225	FAM005498	FAM004890	FAM004468	FAM012879	FAM001148	FAM010890	FAM014011	FAM007700	FAM011309	FAM009346	FAM008140	FAM122186	FAM062099	FAM029928	FAM030030	FAM021791
