rep000_seed0000	CFF000428	CFF000670	CFF000672	CFF001027	CFF001554	CFF000424	CFF000605	CFF001201	CFF000062	CFF000500	CFF000063	CFF000437	CFF000379	CFF001257	CFF000044	CFF000622	CFF000624	CFF000178
rep001_seed2026	FAM003657	FAM000793	FAM005236	FAM000158	FAM000952	FAM001888	FAM005768	FAM010919	FAM010371	FAM003357	FAM001329	FAM001664	FAM007844	FAM004779	FAM000499	FAM008250	FAM004839	FAM003904
rep002_seed2027	FAM000941	FAM000386	FAM006522	FAM000019	FAM000150	FAM001307	FAM000907	FAM001630	FAM000289	FAM006411	FAM012540	FAM001790	FAM004099	FAM001891	FAM000008	FAM000145	FAM003971	FAM003715
rep003_seed2028	FAM003597	FAM005465	FAM002323	FAM012491	FAM009805	FAM001912	FAM013444	FAM001218	FAM003627	FAM004099	FAM003487	FAM011427	FAM003971	FAM005863	FAM001222	FAM000439	FAM001146	FAM010229
rep004_seed2029	FAM011621	FAM004509	FAM000603	FAM004156	FAM000896	FAM002830	FAM004424	FAM005236	FAM010134	FAM004434	FAM002283	FAM005464	FAM003291	FAM009454	FAM007087	FAM000675	FAM003893	FAM000611
rep005_seed2030	FAM011842	FAM003103	FAM004927	FAM006491	FAM001067	FAM002652	FAM000509	FAM012866	FAM001494	FAM004020	FAM000251	FAM006347	FAM003255	FAM002180	FAM004572	FAM005974	FAM001987	FAM007580
rep006_seed2031	FAM006943	FAM010917	FAM001442	FAM013266	FAM010788	FAM007805	FAM009934	FAM003542	FAM005853	FAM001668	FAM001787	FAM007274	FAM001526	FAM012951	FAM006339	FAM000242	FAM004201	FAM002143
rep007_seed2032	FAM002400	FAM008147	FAM010207	FAM002461	FAM001863	FAM003340	FAM009388	FAM000092	FAM002145	FAM001837	FAM004949	FAM006601	FAM000548	FAM004820	FAM002739	FAM013012	FAM001873	FAM009376
rep008_seed2033	FAM003143	FAM005213	FAM008458	FAM010789	FAM001080	FAM006006	FAM006918	FAM007794	FAM001589	FAM005048	FAM001490	FAM003923	FAM001486	FAM011779	FAM007959	FAM008604	FAM003888	FAM004795
rep009_seed2034	FAM001769	FAM013849	FAM000823	FAM002071	FAM009747	FAM006741	FAM003009	FAM000694	FAM012866	FAM006675	FAM010763	FAM000459	FAM002504	FAM002204	FAM008252	FAM001552	FAM008092	FAM000038
rep010_seed2035	FAM000439	FAM007889	FAM010860	FAM000386	FAM013888	FAM003388	FAM003018	FAM005010	FAM000373	FAM005320	FAM006786	FAM001797	FAM005659	FAM010727	FAM014461	FAM012308	FAM003385	FAM007959
rep011_seed2036	FAM002674	FAM005008	FAM006851	FAM008473	FAM001899	FAM002744	FAM002899	FAM004812	FAM002093	FAM002565	FAM003580	FAM005898	FAM005417	FAM000553	FAM002342	FAM001270	FAM002185	FAM008657
rep012_seed2037	FAM002086	FAM003107	FAM004502	FAM007660	FAM001595	FAM002040	FAM011725	FAM000588	FAM006980	FAM009344	FAM001589	FAM007289	FAM012669	FAM009405	FAM004848	FAM000567	FAM003190	FAM010923
rep013_seed2038	FAM004818	FAM004553	FAM005418	FAM003253	FAM014447	FAM001998	FAM001187	FAM012669	FAM007160	FAM001347	FAM003944	FAM008963	FAM009277	FAM008740	FAM006139	FAM003014	FAM012190	FAM001241
rep014_seed2039	FAM008694	FAM001028	FAM010397	FAM000465	FAM004525	FAM000110	FAM001244	FAM014618	FAM004962	FAM001689	FAM000247	FAM013533	FAM006929	FAM004534	FAM003562	FAM005493	FAM007161	FAM012531
rep015_seed2040	FAM001558	FAM003664	FAM003487	FAM009831	FAM009708	FAM011459	FAM001667	FAM003403	FAM010978	FAM005397	FAM007360	FAM002255	FAM005527	FAM000374	FAM005468	FAM002136	FAM002628	FAM005926
rep016_seed2041	FAM000251	FAM005722	FAM006447	FAM000669	FAM000171	FAM001752	FAM009817	FAM012071	FAM013368	FAM002298	FAM005223	FAM002361	FAM007875	FAM001552	FAM002948	FAM004166	FAM010463	FAM005665
rep017_seed2042	FAM005242	FAM005919	FAM000635	FAM002179	FAM010762	FAM003654	FAM003859	FAM002699	FAM001104	FAM008201	FAM002269	FAM002303	FAM003768	FAM003824	FAM012963	FAM002349	FAM005340	FAM008580
