mcl_id	anno_type	num_hit	totals	prop_hit	confidence
FAM029952	CF34	12	12	1	confident
FAM006553	CF6	49	56	0.875	confident
FAM001975	CF8	167	199	0.83919598	confident
FAM000637	CF21	462	558	0.827956989	confident
FAM000500	CF1	542	655	0.827480916	confident
FAM000558	CF7	501	606	0.826732673	confident
FAM005943	CF8	51	62	0.822580645	confident
FAM000624	CF13	464	566	0.819787986	confident
FAM001243	CF20	256	317	0.807570978	confident
FAM000659	CF3	433	542	0.798892989	confident
FAM000605	CF51	454	574	0.790940767	confident
FAM001201	CF39	260	331	0.785498489	confident
FAM000899	CF14	336	428	0.785046729	confident
FAM000610	CF19	435	572	0.76048951	confident
FAM000437	CF17	517	698	0.740687679	confident
FAM000022	CF0_0	1759	2387	0.736908253	confident
FAM000474	CF12	487	668	0.729041916	confident
FAM001018	CF24_29	275	382	0.719895288	confident
FAM000178	CF35	726	1011	0.71810089	confident
FAM000503	CF2_4	458	648	0.706790123	confident
FAM000322	CF28_31	567	811	0.699136868	confident
FAM000452	CF6	481	688	0.699127907	confident
FAM000044	CF5	1257	1800	0.698333333	confident
FAM000228	CF46	630	919	0.685527748	confident
FAM001141	CF47	227	345	0.657971014	confident
FAM006988	CF41	34	52	0.653846154	confident
FAM000523	CF43	390	633	0.616113744	confident
FAM000424	CF45	433	710	0.609859155	confident
FAM000672	CF10	328	538	0.609665428	confident
FAM000319	CF31	494	814	0.606879607	confident
FAM000013	CF5	1733	2865	0.604886562	confident
FAM001554	CF29	154	257	0.59922179	confident
FAM000256	CF9	523	875	0.597714286	confident
FAM001189	CF0_0	194	333	0.582582583	confident
FAM000451	CF0_6	398	688	0.578488372	confident
FAM002337	CF0_0	96	167	0.574850299	confident
FAM000752	CF8	280	492	0.569105691	confident
FAM000737	CF27	282	497	0.567404427	confident
FAM000331	CF22	445	801	0.555555556	confident
FAM000427	CF30	391	706	0.553824363	confident
FAM000428	CF33_40	388	704	0.551136364	confident
FAM003956	CF23_25	52	95	0.547368421	confident
FAM002891	CF15	69	132	0.522727273	confident
FAM000083	CF4	731	1413	0.517338995	confident
FAM001323	CF2_7	149	299	0.498327759	confident
FAM001406	CF0_0	134	282	0.475177305	confident
FAM001929	CF26	94	205	0.458536585	confident
FAM000237	CF11	403	909	0.443344334	confident
FAM000810	CF53	182	466	0.39055794	confident
FAM001027	CF0_0	148	379	0.390501319	confident
FAM016868	CF16	7	21	0.333333333	confident
FAM010002	CF42	12	36	0.333333333	confident
FAM115363	CF6	1	3	0.333333333	confident
FAM000670	CF37	175	538	0.32527881	confident
FAM000379	CF38	241	744	0.323924731	confident
FAM000575	CF70	184	592	0.310810811	confident
FAM001254	CF42	96	314	0.305732484	confident
FAM000062	CF15	466	1611	0.289261328	confident
FAM001499	CF16	76	267	0.284644195	confident
FAM000622	CF50	139	567	0.245149912	confident
FAM000063	CF36	384	1610	0.238509317	confident
FAM002295	CF34	39	170	0.229411765	confident
FAM000072	CF0_0	345	1537	0.22446324	confident
FAM009478	CF8	8	38	0.210526316	confident
FAM000330	CF44_51	162	803	0.201743462	confident
FAM000209	CF25	178	953	0.186778594	confident
FAM000621	CF67	99	568	0.174295775	confident
FAM057668	CF0_0	1	6	0.166666667	confident
FAM000274	CF28_52	125	857	0.145857643	confident
FAM000079	CF32_36	194	1465	0.132423208	confident
FAM003996	CF0_0	12	94	0.127659574	confident
FAM001257	CF23_25	34	314	0.108280255	confident
FAM035066	CF0_0	1	10	0.1	confident
